dimensions,budget,algorithm,rank,ngopt rank,algo ID,in data,points test,rank test
10,3000,ParametrizedMetaModel(multivariate_optimizer=CmaFmin2),1,0,5,True,382,1
10,3000,CMA,2,2,0,True,321,2
10,3000,ConfPortfolio_scale2_NA_ngopt14s_1,3,3,38,True,321,2
10,3000,ChainMetaModelPowell,3,3,1,True,216,5
10,3000,MetaModel,3,3,3,True,277,4
10,3500,ParametrizedMetaModel(multivariate_optimizer=CmaFmin2),1,0,5,True,371,1
10,3500,CMA,1,-1,0,True,348,2
10,3500,ChainMetaModelPowell,3,3,1,True,227,5
10,3500,ConfPortfolio_scale2_NA_ngopt14s_1,3,3,38,True,348,2
10,3500,MetaModel,3,3,3,True,283,4
10,4000,ParametrizedMetaModel(multivariate_optimizer=CmaFmin2),2,0,5,True,364,3
10,4000,CMA,1,-1,0,True,375,1
10,4000,MetaModel,3,3,3,True,301,4
10,4000,ConfPortfolio_scale2_NA_ngopt14s_1,3,3,38,True,375,1
10,4000,ChainMetaModelPowell,3,3,1,True,240,5
10,4500,ParametrizedMetaModel(multivariate_optimizer=CmaFmin2),2,0,5,True,382,1
10,4500,CMA,1,-1,0,True,381,2
