dimensions,budget,algorithm,rank,ngopt rank,algo ID
15,4000,ChainMetaModelPowell,3,3,1
15,4000,ConfPortfolio_scale2_NA_ngopt14s_1,3,3,38
15,4000,MetaModel,3,3,3
90,1000,MetaModelOnePlusOne,3,3,4
10,4000,ChainMetaModelPowell,3,3,1
60,2500,MetaModelOnePlusOne,3,3,4
10,2000,ChainMetaModelPowell,3,3,1
40,3500,MetaModelOnePlusOne,3,3,4
70,2500,MetaModelOnePlusOne,3,3,4
100,3000,ConfPortfolio_scale2_NA_ngopt14s_1,3,3,38
100,3000,CMA,3,3,0
3,3000,CMA,3,3,0
3,3000,ParametrizedMetaModel(multivariate_optimizer=CmaFmin2),3,3,5
90,3000,MetaModelOnePlusOne,3,3,4
80,1500,MetaModelOnePlusOne,3,3,4
80,3000,MetaModelOnePlusOne,3,3,4
5,3000,MetaModel,3,3,3
5,3000,ChainMetaModelPowell,3,3,1
70,3000,MetaModelOnePlusOne,3,3,4
100,3000,ChainMetaModelPowell,3,3,1
40,1500,MetaModelOnePlusOne,3,3,4
10,3000,ConfPortfolio_scale2_NA_ngopt14s_1,3,3,38
10,3000,ChainMetaModelPowell,3,3,1
70,1500,MetaModelOnePlusOne,3,3,4
15,3000,MetaModel,3,3,3
60,3000,MetaModelOnePlusOne,3,3,4
15,3000,ConfPortfolio_scale2_NA_ngopt14s_1,3,3,38
15,3000,ChainMetaModelPowell,3,3,1
60,1500,MetaModelOnePlusOne,3,3,4
45,1500,MetaModelOnePlusOne,3,3,4
30,3000,MetaModelOnePlusOne,3,3,4
10,3000,MetaModel,3,3,3
35,1500,MetaModelOnePlusOne,3,3,4
90,1500,MetaModelOnePlusOne,3,3,4
100,2500,ChainMetaModelPowell,3,3,1
15,1500,ConfPortfolio_scale2_NA_ngopt14s_1,3,3,38
30,3500,ConfPortfolio_scale2_NA_ngopt14s_1,3,3,38
30,3500,ChainMetaModelPowell,3,3,1
15,1500,ChainMetaModelPowell,3,3,1
100,1500,MetaModelOnePlusOne,3,3,4
15,1500,MetaModel,3,3,3
80,2500,MetaModelOnePlusOne,3,3,4
20,1500,MetaModelOnePlusOne,3,3,4
90,2500,MetaModelOnePlusOne,3,3,4
